Fall_2011	34539 28371 31767
Fall_2012	23972 23678 23971 19089 11521 20858 14516 10808 23911 22052 19927 17488 19901 21119
Fall_2013	18584 17096 18794 10486 22112 11061 13456 23748 19499 17793 20903 15873 23539 21591
Fall_2014	13540 13474 17401 24095 23937 21154 22187 24084 24737 13438 13372 13295 16187 23588 17199
Fall_2015	13049 20834 15523 12985 22225 21853 13144 16576 16399 20124 24044 13082 12910
Spring_2012	12291 12320 15629 15631 12192 15988 23684 12374 16645 24730 12211 16746 13708
Spring_2013	11985 22748 11889 20981 15213 12064 15795 11546 13229 11908 19837 15871 11601 14889 14891 12014
Spring_2014	14521 12973 15418 24545 11834 11759 14822 11862 14519 15414 11907 11740 19594
Spring_2015	11649 15109 14555 18723 23424 15113 11766 11668 18309 21476 21477 14285 11809 11739 14287 21475
Spring_2016	21882 14054 14056 23314 11667 14842 23750 11550 11640 24057 14315 18107 11569 23998 17628 11331 23926 11709
