1968	010810 104553 005735 005831 105861 008704 001295 106062 100474 102101 102039 100343 016115 005810 001308 100845 100321 018902 015857 101884 014975 013650 101850 102928 011283 011286 101541 101562 105999 102873 103954 015902 010812 014785 005702 001296 106035 106045 102843 101232 019517 105436 101574 015900 011294 103634 106024 101074 011295 013648 013983 008848 105873 105820 106049 005813 105844 105807 102120 102627 101897 101553 102018 105206 014821 014803 002424 005405 016156 013670 012665 005714 103034 003780 106044 018902 007968 005810 005525 009188 001579 102656 013984 015541 011288 005812 018902 104467 007968 106040 105232 106033 105210 105214 105829 106038 101900 101573 011281 105190 015100 106565 103940 105853 105810 105832 101124 015811 100708 005052 005787 006382 005832 105186 001299 102124 101878 101831 019280 007993
1969	100537 101665 005616 013648 005714 005787 005831 001519 005752 005525 005622 102937 100708 105210 014821 101232 101878 100577 019028 106552 105781 101562 102899 018115 017089 102656 106553 010507 005812 006778 008704 105206 017963 014804 013383 015541 017093 011294 011295 010812 013983 005052 003876 000025 005525 014803 018356 005810 005405 102949 014028 005702 001831 009131 009188 104868 006382 102830 015881 105232 105213 005734 011281 005810 001308 009204 105186 102873 101558 102945 101839 101020 012955 006382 007746 105484 003780 004437 005614 005813 101841 105580 013080 010810 102976 103446 105231 011286 011288 006486 006959 100343 100595 015550 001314 002424 000025 101850 011283 011289 014029 014785 001295 102873 100845 105214 105190 105212
1970	013985 012203 103760 007746 001295 006541 001516 101551 101127 016116 017093 014804 014787 019517 008134 006401 013983 001521 014718 014799 106526 103830 103803 103721 101831 101832 101580 014979 013912 011286 005812 005810 104061 008126 001299 106142 106138 103836 106541 103126 103431 102630 101497 100505 012955 104643 105961 105397 016115 005405 104867 104034 101850 105423 102220 100708 018999 106496 013984 008306 006527 005525 104049 100628 102921 105912 101404 102386 101172 102803 100343 018117 014785 010810 102656 014821 001864 105396 101530 106126 103097 101832 013979 011888 013912 008704 011283 011295 104543 105906 104514 103779 105580 100960 014803 014799 014805 013314 011281 011298 005831 015100 014788 015902 106235 106552 106618 105995 101254 102836 101081 102650 009806 008127 006781 105076 106139 015145 017089 009605 011289 005737 009347 002961 000383 105399 005752 101517 104486 100537 014975 101505 105927 103918 103444 102807 006834 008125 005725 002833 005702 104856 101611 104080 104637 003163 104240 014029 011894 011059 014028 013085 012993 011294 101503 101520 101167 101232 100930 017181 015557 101577 010812 009188 106566 000934 101142 017089 101562 102937 101534 102976 102465 101665 105316 006485 008719 005787 008010 005619
1971	010403 007746 007774 101045 011566 100893 103104 103836 015032 006386 005525 006603 001463 105225 100835 013080 013985 011295 011298 102656 103104 103089 009605 105966 008719 019517 019196 016604 015102 101505 014803 014821 014836 105423 105412 100963 103812 102928 102919 101127 101537 005405 005787 005812 000039 106541 102646 105076 014262 014975 011281 005725 008704 003198 001295 002424 103737 101831 106526 105396 103779 105399 014699 014804 013984 011283 013085 006541 106618 101232 104049 100708 102976 103724 101517 103745 101658 103827 018999 002652 001296 104203 101460 104061 106235 101508 101254 101491 101850 001299 008704 010464 005810 005739 104007 104188 104643 105711 104481 102935 104640 102465 018998 101665 103251 014785 101359 105906 105293 100359 102945 102386 019028 012225 012224 011843 011286 011289 007408 004305 106126 102488 014305 011841 009188 011294 008853 005813 005702 105710 104084 102660 104034 016913 103104 100979 014805 017093 014799 006401 106553 106566 101497 101582 104241 100907 103097 017089 102464 014319 011288 008125 005702 011894 104708 104719 104719 105985 105995 104638 104007 101142 018903 101530 100537 014289 014723 008034 101841 007408 007600 005832 104489 105961 105970 013110 010810 106496 010041 100960 100963 018107 019516 103768 000515 105392 105407 105412 105937 105955 104849 105704 105705 101503 009347 006385 005831 001864 012928 001941 014273 102803 101502 103830 102937 100266 015270 013983 006384 006959 103975 007746 007773 006383 005357 104212 100630 101562
1972	100203 000431 100203 106526 104786 008127 103980 014804 015618 014977 011288 012282 012224 005702 008010 003796 101292 105971 106440 103559 105399 103034 105966 105398 106496 005812 007136 001295 105988 014803 013984 011241 014015 102949 011289 102976 104200 011286 011295 104337 009347 104870 100574 100842 017181 014975 103830 101714 100930 019032 106541 103738 000340 011894 103595 105711 105940 105704 008125 001868 006383 002652 105642 005787 000974 000787 103251 105923 105201 105966 100343 016115 014742 014979 014799 012993 009605 010464 004002 001463 001299 101460 105296 101005 105423 016118 011294 013983 009824 013080 011888 006401 006776 005744 005052 010089 005405 100203 106148 102660 007765 008871 105916 006385 100907 102945 006384 103645 103836 002424 004437 001941 105995 103336 103667 012928 014005 010810 008126 005747 105951 105982 105420 104702 103827 103768 101465 100359 010707 008873 006659 003548 003679 002034 104165 103683 103250 016043 018888 017089 017093 013670 013113 013687 014699 011283 014273 010812 005810 000886 103563 103637 103626 105408 100738 014785 014008 008134 004435 004006 003681 014262 002035 103268 101850 101472 105239 100979 014799 011294 013670 012225 011281 007746 008719 000570 101232 102595 106652 104519 100895 103034 100960 014805 005865 018902 101326 102919 106566 101841 101831 102148 300204 014821 012993 012626 013314 012224 006958 011298 002044 002652 103564 104212 104849 106230 101696 013983 006834 008704 006386 000343 106145 104195 011832 010507 105403 008604 018902 015147 103260 103591 103650 101628 100537 104061 101254 101832 100357 100611 101081 011288 014804 014723 104515 005831 013974 011295 008719 010222 007762 007773 103803 103589 101450 101348 103117 018553 018909 018903 018999 018908 005752 100203 004061 001296 001850 001864 003821 106508
1973	008134 105399 007475 008127 006341 006401 005702 002034 005405 006383 011288 004038 013408 101232 100895 018909 007088 007746 003548 103639 103779 103595 101465 101468 100700 101292 018103 014738 018903 014975 001296 014803 106543 106523 105916 106526 105406 103251 104280 103830 104007 101850 011283 011277 009347 008309 007774 006399 007408 008126 008704 100041 005747 005702 005731 100041 103566 103692 101104 101674 101348 104487 106553 104247 105642 105646 105605 103645 105635 101696 100041 100041 100357 106434 015550 014805 014319 011879 013856 011295 105988 105412 101832 105711 011894 104200 104016 105422 009701 101714 104760 104165 105399 103116 005813 100628 104044 019517 005812 005696 002954 004037 000062 101292 103121 103564 103637 101147 014821 018902 011832 014699 006386 011298 009188 011278 010755 007144 006361 004437 004435 002424 106566 102919 102935 102964 104233 104260 104849 104750 104774 013410 014799 106570 106525 102692 100815 014804 013984 011241 008719 005619 005752 101254 104034 104195 104200 013314 005810 005744 004002 001299 002035 105587 103650 103591 106148 014012 011294 004039 004435 005787 003887 003679 002960 002961 002110 106148 000976 000428 103812 014836 010812 011288 008871 010066 005859 006385 105195 102945 105398 000340 106436 018999 014269 007114 006384 018107 008604 015618 014742 105033 106534 100617 100882 105705 100343 103609 103626 005525 104489 105704 001321 104874 001463 009605 102689 105423 105239 103105 013983 014986 012615 011276 012224 006383 101172 105630 100842 101326 103178 103589 014009 014289 012663 008153 008853 005831 004061 105499 100041 105951 105982 102976 017056 014659 006959 100907 101005 018908 100672 100700 017089 017089 100979 101558 016043 015895 101695 103781 100960 019032 103827 102937 100505 101302 101703 100359 102968 102971 005832 007762 002824 106280 000594 000313 105995 014277 012225 014004 014262 011289 011281 008638 000431 000383 106541 104754 104786 001295 002043 105702 105076 014311 014785 014019 010810 009167 005725 002045 002044 002034 001864 105966
1974	103812 103980 001015 105398 105399 007763 006947 006361 005746 002036 003681 002424 004039 004061 004173 000340 104355 103106 015062 006281 012224 007122 011294 007746 008125 006341 007104 005812 005040 013314 013316 013402 001463 014319 014262 000431 000594 014821 014805 103781 101254 101262 101326 100960 101147 100609 015795 015559 017476 015589 014338 019517 012282 104247 011294 106515 105076 005813 005702 105226 000313 103447 105120 106148 100890 000886 106476 103975 100628 102691 010707 018908 014975 014263 014799 014782 007387 006612 007762 005696 005861 001458 000197 104081 104217 014981 014979 013974 006401 006387 008134 008719 006386 001130 106590 101841 104006 102647 101714 102217 014804 018103 015931 011894 010812 013983 013984 006959 003796 014289 002043 100364 102193 102701 105201 000515 103724 105412 103779 018999 015569 012928 011241 011288 007994 007088 007993 015145 003679 004049 004173 003719 106148 101577 105509 101689 101232 015540 014659 015932 014785 013977 013979 010755 006617 006385 006383 005702 005405 104342 105385 105313 106570 101850 101643 019032 015541 013856 011879 011289 010812 008253 005696 006384 102855 101172 102199 103251 103104 005810 103827 000007 101696 100700 106145 105407 103464 101081 102982 101571 100357 103830 101832 105635 100842 102699 018902 008704 014311 014977 014723 014742 012225 016115 011277 008126 007774 007114 006743 011281 005836 001941 001864 002035 005744 101674 101831 106543 105404 102695 103178 100677 100930 106078 101292 015618 018903 008853 007104 005525 006302 004038 004435 105642 000428 106541 103989 104280 105624 102687 102692 106434 104337 103836 103463 103008 102703 105423 103811 106484 101831 106526 103104 101710 100359 100343 101292 014305 013861 011832 011295 103522 103349 009605 009347 104487 010651 105567 005831 007474 005357 004002 001295 002960 000601 001299 000515 000383 004037 001296 105239 101359 106442 100895 104300 105396 105397 100672 018909 014803 015541 014975 011276 011278 010043 005787 004173 106553 106566 106477 006958 002034
1975	007949 007746 001506 002984 003681 002043 002035 003679 002651 008928 010892 005816 103595 100343 000471 100959 105239 105423 105307 103284 000007 103965 019359 018365 017476 000594 004002 000886 000619 102692 104188 103591 007763 006617 106508 106476 106543 106669 008253 007387 003548 001296 002034 000313 000313 103589 103626 102871 009253 008704 008134 105412 008853 101272 015546 015565 015881 101292 101292 101359 101254 014803 013977 011277 103609 100611 018999 019180 100672 100916 101617 018909 014785 017104 016123 103685 105404 103830 105384 103663 102199 019032 106526 106539 101577 106578 000515 104288 103467 001307 104355 104867 103101 105386 103581 103684 008719 010228 007762 005525 006383 003680 003679 000383 106086 105280 104355 018903 014738 014799 010812 010222 103463 007408 006386 006387 011276 011289 004446 010393 017104 102564 103564 101696 101706 015932 015219 014821 013984 011281 008604 008873 008127 100617 102601 017130 017067 015103 015098 015618 102193 006385 101348 006541 101302 103718 006361 103595 101632 100628 101850 106145 105642 105600 103815 000340 000515 104090 106099 103447 104355 104355 100357 005831 100895 106477 002796 007382 006543 005787 106191 101156 101689 015931 015889 015145 013861 014311 010041 007993 103658 103116 103975 103350 106487 101127 101674 101658 101040 004021 003887 004435 004061 002036 001295 001463 001458 104180 102647 101703 101232 018299 015542 015100 015882 014785 013418 009347 008311 000328 100907 105976 100584 011278 008719 005689 003548 106148 000428 001864 104355 101081 015149 017086 014804 015550 015102 015087 014262 014975 011879 005375 006958 005747 005810 003683 002824 103836 002045 102553 101831 104038 105124 100870 104184 103692 100979 014269 011288 010525 007474 013983 103518 106160 103555 101172 106564 106594 019270 104212 100842 011294 012224 012225 009167 006281 005696 005405 002954 001130 103635 103650 103101 105567 015555 015540 014305 014659 005404 003796 004039 001941 106533 000570 106574 105310 014742 010755 007475 006384 006383 005813 005812 103827 103573 010659 100960 101710 101714 007600 103961 006302 006401 005832 002044 103645 102982 105399 103106 100959 104355 011241 105033 011295 105100 105398 009605 011277 101841 103519 007785 016115 015552 018902 018908 014805 014836 019275 100359 101893 013001 104195 103779 103781 101930 101884 105630 102684 100882 103548 015567 003112 012955 013314 013316 014716 000515 014805 106566 106148 106160 008305 008126 008125 008871 006621 007089 006959 006913 010810 103811 100700 101147 019180 019277 019269 100165 017085 015032 006611 014267 001650 002034 000431 106553 000468 104274 103812 006300 006341 105385 007475 007994 006612 007104 005836 001518 005702 005744 004061 002043 003719
1976	104188 102488 102932 101127 101302 100651 101330 103770 006617 006300 004446 001941 002651 101889 008125 009737 009326 007993 009605 006622 007114 007136 007746 007746 005405 100842 100343 018903 017760 005747 006341 012225 007949 011832 007762 100628 104073 104038 101232 101696 100043 100359 100306 015932 001518 014805 105423 106526 105567 105219 105226 106476 104342 104211 008704 005702 003683 004002 001299 105201 010913 008873 106475 015933 015807 014742 018953 014975 100043 101703 106488 106489 106502 106446 015803 014311 013977 000886 106219 101841 105624 106421 106570 104355 105386 101785 008060 008127 008719 008311 007773 100312 103989 101632 101850 104034 104337 103519 101706 105393 103658 103109 102531 103678 018999 011833 011294 009169 006384 000468 002036 018891 106540 101147 019521 102672 104287 101658 101674 017085 012621 004039 001296 106193 106099 103522 103514 101040 019359 015104 015931 014305 014799 011241 010810 012233 006611 001463 002043 105642 104030 101831 103965 103975 013310 013861 014262 013314 010393 007774 010755 101121 102553 101930 100895 103467 103472 019180 014738 011278 011267 007387 007104 015149 006958 106207 102199 101656 019275 105600 013983 006621 007785 006386 005812 005357 005744 005696 101139 101717 105741 014823 015032 005787 001295 104355 104355 002798 104217 104195 100959 019032 017356 014664 015618 002961 002034 001458 103464 102575 104149 104355 104184 104279 104212 000740 105398 105412 000340 106436 011268 008706 106431 103718 101331 103132 101689 106086 104697 106184 106191 000428 015092 014785 012250 000619 011288 009347 005725 005689 013984 010812 011277 010228 100043 100043 006613 104355 103830 104489 103827 104004 007475 016954 015542 104347 005831 100716 100882 100979 103106 100960 014804 102595 000467 000007 005832 101710 104234 100043 008126 008134 012232 006547 006541 011276 011264 005813 004038 004037 003876 016512 015087 014716 103684 104090 012250 006385 007897 006959 005810 005529 006307 006302 003681 004061 007474 000313 106553 106235 018999 018908 016120 015145 100357 018902 019191 018955 102600 105399 103178 103685 103779 104480 019277 106525 106554 000431 001646 000570 103284 104355 103646 102647 103192 011295 008706 010065 007408 016043 015550 014659 014827 014803 014821 014274 013316 012928 012224 103573 103494 103658 010518 100870 101922 100700 019270 018909 000900 000383 000515 000594 000471 106176 006401 008873 006387 006383 106182 106543 007746 007763 106568 007089 003548 003796 003679 007088 002044 011289 001624 001262 007122 002045 002035 004435 002652 104149 014977 104104 013001 005734 106213 006612 006798 100916 103812 101081 104966 019269 000376
1977	001296 007017 106586 000467 000468 000619 106526 006677 006958 019269 016470 014977 012232 013314 013984 008311 011277 005616 101367 106191 100916 101941 101936 101703 103284 101955 102553 000341 000313 000431 000340 106207 003548 000481 106431 008216 007387 006612 106525 005812 001941 011879 013715 011277 011294 011832 011289 102595 104149 010913 011288 104279 008637 101632 101717 013316 012928 106645 101326 101689 103848 103125 101292 104233 100357 101147 100949 100979 019358 100882 105642 103503 106476 106488 105600 106540 104211 103509 103507 002960 105587 105603 007774 001941 000515 002425 103513 004084 104487 105606 101656 005375 006385 002036 005810 007114 001307 005525 004038 004061 004251 004307 002045 106109 106182 104200 100343 017067 018891 014785 019032 013642 105239 104499 103017 102199 103718 103684 105307 101850 103815 100733 104030 106235 103471 006401 006384 017085 005733 005525 003681 000601 103518 011241 011838 014717 013329 016558 012238 011294 006762 007320 018890 015555 014799 101232 103077 101081 103718 019359 104149 101482 103805 103830 103812 101706 006621 101831 101674 000480 103678 000471 006307 008134 008270 007773 006281 006541 005747 004002 005405 002788 002444 001827 014803 015932 015145 015149 014716 014015 013640 013322 013979 011288 003577 105313 103106 102488 106475 100651 101963 100043 101710 101970 018902 005831 006304 005702 005832 002824 001226 000007 105606 104478 104391 103515 104342 105384 015081 015933 013648 013979 014742 011295 011276 011277 012224 011045 009347 008265 008125 008144 007320 101965 101967 101969 105310 106177 300241 103836 106184 005622 005619 005357 001299 002652 000515 000376 000594 017476 019358 014804 014821 013977 002044 103464 101976 101562 000570 009347 008124 006386 008099 008126 013983 014009 006300 007104 005787 003796 002973 019273 100960 014823 015066 014975 015931 013984 012225 106446 002034 106570 103178 103192 104499 013310 106476 106502 103975 101127 100037 106523 102647 101974 012238 007993 008871 007089 006611 013001 106517 104489 104499 015593 015811 015067 014979 013012 006300 011295 004793 001594 000502 106562 106526 000468 100628 102855 101607 100842 101841 103467 104287 100088 101973 015021 013327 010755 012232 011278 011288 010228 007390 006613 006823 008127 007746 106553 019270 101972 106213 018903 101607 101614 015618 013983 015065 004832 005813 002808 002971 103480 104188 106099 103756 103548 000383 106193 101005 011289 011276 100443 100870 103984 104195 007997 104480 007968 104989 006383 007039 006341 102647 101147 012224 012238 101359 010810 105014 103519 100611 016043 013861 001295 000428 014805 000886 014738 106086 106157 104496 103827 102518 101292 008313 008719 007762 008258 006798 011278 012225 004039 002961 002043 006617 013337 013983 013977 007408 007746 008873 103812 101607 101002 101101 017128 005744 016534 105090 015085 015087 002035 004435 002651 003680 003679 103462 004049 105226 007967 006302 007136 006622 006387 006600 001463
